가게명,대분류,중분류,소분류,mean_score,주소,Latitude,Longitude
클랭블루,카페,,,4.2,제주특별자치도 제주시 한경면 한경해안로 552-22,33.3439871,126.1759253
덕승식당,식당,한식,"갈치조림, 우럭매운탕",4.1,제주특별자치도 서귀포시 대정읍 하모항구로 66,33.2192451,126.2513444
티나케이크,카페,,,4.2,제주특별자치도 서귀포시 서문로 61,33.2479438,126.5569732
우도왕자,카페,,,3.9,제주특별자치도 제주시 우도면 우도해안길 252,33.5074342,126.954269
보엠,카페,,,4.1,제주특별자치도 제주시 원노형로 102,33.4795281,126.4840809
안거리밖거리,식당,한식,"한정식, 백반, 정통한식",4.1,제주특별자치도 서귀포시 솔동산로 6-1,33.244278,126.5641506
랜디스도넛,카페,,,4.1,제주특별자치도 제주시 애월읍 애월로 27-1,33.4630969,126.3173357
샤오츠,식당,중식,"중식, 기타 중식",4.2,제주특별자치도 서귀포시 성산읍 동류암로 20 Everything동 1F,33.449939,126.9183796
난드르바당,식당,한식,고기요리,4.2,제주특별자치도 서귀포시 하예하동로16번길 11-1,33.2346331,126.3712777
폼포코식당,식당,일식,"일식, 퓨전일식, 나베",4.2,제주특별자치도 서귀포시 성산읍 동류암로 20,33.4500452,126.9184399
제주스,카페,,,4.1,제주특별자치도 제주시 동문로 4,33.5128008,126.5269479
금능낙원,식당,한식,"밀면, 몸국, 흑돼지 불고기",4.1,제주특별자치도 제주시 한림읍 금능길 27,33.3874646,126.2262578
웅담,식당,한식,"국수, 면요리",4.2,제주특별자치도 제주시 한림읍 한림로5길 23,33.4146732,126.2613821
오설록티뮤지엄,카페,,,4.1,제주특별자치도 서귀포시 안덕면 신화역사로 15,33.3058932,126.289534
자매국수,식당,한식,"고기국수, 잔치국수",4.0,제주특별자치도 제주시 탑동로11길 6,33.5111504,126.5185621
네거리식당,식당,한식,"갈치조림, 갈치국",3.9,제주특별자치도 서귀포시 서문로29번길 20,33.2485206,126.559362
애월더선셋,카페,,,3.9,제주특별자치도 제주시 애월읍 일주서로 6111,33.4562197,126.3092133
이익새양과점,카페,,,4.1,제주특별자치도 제주시 한림읍 명월성로 16,33.3632853,126.2589767
명랑스낵,식당,한식,"분식, 떡볶이, 한치튀김",3.9,제주특별자치도 제주시 한림읍 한림로 585,33.4092824,126.2588312
니모메빈티지라운지,카페,,,4.2,제주특별자치도 제주시 일주서로 7335-8,33.4937504,126.4300165
목포고을,식당,한식,"고기요리, 흑돼지",4.0,제주특별자치도 서귀포시 일주서로 968-5,33.2584159,126.4071294
제주흑돈세상수라간,식당,한식,흑돼지,4.2,제주특별자치도 서귀포시 중산간동로 8051,33.2639747,126.5566914
태광식당,식당,한식,"두루치기, 한치주물럭",3.9,제주특별자치도 제주시 탑동로 144,33.5126043,126.5188652
바람벽에흰당나귀,카페,,,4.0,제주특별자치도 제주시 구좌읍 동복로 11,33.5538497,126.7076684
경미네 집,식당,한식,"라면, 해산물 요리",4.0,제주특별자치도 서귀포시 성산읍 일출로 259,33.4612504,126.9334723
제주오성,식당,한식,"전복요리, 갈치, 해산물 요리",4.2,제주특별자치도 서귀포시 중문관광로 31,33.2554085,126.4145582
핀크스비오토피아,식당,양식,"이탈리안 요리, 코스요리",4.0,제주특별자치도 서귀포시 안덕면 산록남로762번길 79,33.3036005,126.39036
탑해장국,식당,한식,"탕, 찌개, 전골",4.1,제주특별자치도 제주시 월랑로 83,33.4917374,126.472442
오가네설렁탕,식당,한식,"설렁탕, 전복요리",4.1,제주특별자치도 서귀포시 중산간동로 7738 1F,33.2681801,126.5891564
